Date,Country,Region,Plastic_Waste_Tons,Plastic_Recycled_Tons,Burned_Waste_Tons,Illegal_Dumping_Cases,Trees_Cut,Deforestation_Area_Ha,Forest_Fires_Reported,CO2_Emissions_Tons,Water_Pollution_Index,Air_Quality_Index,Population_Affected,Government_Interventions,Reforestation_Projects,Waste_Collected_Tons,Plastic_Bans_Enforced,Awareness_Campaigns,Monitoring_Stations
2020-01-14,Nigeria,Forest,936.61,629.19,1003.1,2,192,5.65,2,6120.17,36.24,66.92,43035,0,2,1643.03,1,6,5
2020-11-22,China,Suburban,2587.62,603.42,2427.47,2,912,18.9,0,5831.46,59.07,153.66,36332,9,4,2173.96,0,12,2
2023-11-30,China,Coastal,3383.44,658.83,1040.52,3,56,18.78,1,4212.14,42.34,127.55,21550,6,0,1744.1,1,13,41
2022-05-15,Nigeria,Mountain,3181.21,846.59,1543.72,1,344,16.87,0,4403.32,57.21,105.78,55897,8,4,1957.58,0,13,48
2021-11-27,Mexico,Suburban,801.05,388.32,2191.32,0,740,2.41,1,4995.48,51.23,158.75,18898,8,4,753.83,1,5,4
2021-07-23,Germany,Rural,1298.5,1327.31,589.4,3,788,0.54,0,5443.95,78.21,118.35,11474,0,0,692.82,0,12,10
2020-11-14,Germany,Urban,1121.43,848.34,655.73,3,568,15.98,3,4547.33,40.03,119.77,92520,8,0,2353.61,0,10,35
2021-03-16,Brazil,Suburban,1438.29,130.02,365.57,5,701,16.94,1,6185.61,65.92,52.36,65195,0,1,1371.35,1,1,1
2021-11-20,Germany,Mountain,2951.09,1943.69,2448.22,2,575,19.26,1,4328.14,54.39,97.4,66723,0,3,1294.75,0,12,39
2020-07-28,Nigeria,Coastal,4102.26,677.3,3318.73,3,83,4.76,2,3740.56,61.08,50.76,64279,1,2,339.59,1,11,3
2020-07-08,USA,Suburban,2178.49,110.03,267.06,3,939,14.8,2,6036.38,72.86,188.58,3974,9,4,824.25,1,1,43
2022-02-17,Nigeria,Rural,964.84,359.19,1267.66,2,984,10.62,1,5236.16,51.43,94.09,43607,5,4,3429.04,0,9,45
2020-07-17,Nigeria,Coastal,1620.84,1166.27,596.05,6,801,6.91,0,4713.04,52.02,77.08,97439,8,2,2224.28,1,5,26
2022-01-05,Russia,Urban,4612.54,469.08,628.21,5,378,12.32,2,3629.1,34.61,63.63,85180,4,0,2609.36,0,10,17
2021-12-05,India,Mountain,1781.59,510.08,1608.62,3,881,11.19,0,5984.72,63.12,57.0,6599,8,0,1884.63,1,0,42
2023-05-21,Philippines,Suburban,1309.68,999.88,1072.22,1,658,6.2,1,7378.74,55.01,182.9,9684,8,4,3316.14,0,13,8
2021-06-25,USA,Mountain,1398.85,734.54,1497.9,3,829,5.74,1,5494.76,78.74,75.28,42575,7,4,423.44,0,5,30
2020-03-29,Indonesia,Forest,2171.51,900.48,3254.85,4,687,9.99,1,4364.5,56.36,142.62,35561,6,2,4501.22,1,4,8
2024-02-03,India,Coastal,825.63,991.34,1317.51,2,83,9.74,1,5237.62,88.25,147.68,68539,2,2,1462.28,0,12,29
2022-07-29,China,Forest,1099.2,266.1,1651.82,2,844,6.39,0,5562.79,40.31,97.63,61402,9,3,1591.47,0,0,18
2023-01-03,Mexico,Suburban,3149.77,294.04,2132.6,3,455,5.64,1,5498.15,46.02,174.99,61944,2,0,2660.79,1,4,24
2020-09-12,Philippines,Mountain,2128.13,232.31,542.34,2,67,19.11,1,4186.99,53.51,82.1,71687,3,1,368.52,0,3,9
2022-02-14,Philippines,Rural,1795.16,311.44,1770.76,1,479,17.32,1,4494.95,40.23,60.72,45523,8,1,721.09,1,8,20
2020-06-10,Russia,Forest,3256.01,491.78,613.84,1,477,16.43,0,4253.06,88.34,60.28,54628,2,2,1626.34,0,10,44
2023-02-04,China,Rural,914.69,525.92,298.18,3,963,4.68,2,5369.82,68.46,95.06,98624,7,3,2506.66,1,0,13
2021-08-23,Indonesia,Forest,1278.43,1621.25,1407.23,3,342,4.19,0,4936.1,30.67,119.49,72052,7,4,1376.02,0,9,37
2023-07-11,USA,Coastal,2078.93,704.56,334.86,3,952,16.28,1,6151.34,64.71,144.4,3112,5,2,171.93,1,2,19
2023-06-20,Nigeria,Coastal,2026.91,500.92,1078.25,0,629,4.1,2,5247.1,76.87,159.31,40412,1,2,1908.89,1,1,5
2022-01-10,USA,Suburban,425.85,178.78,887.22,4,798,10.32,1,5712.27,33.08,76.8,38234,5,2,1195.12,1,10,36
2023-03-28,Russia,Mountain,1180.46,412.41,2689.2,3,129,4.82,4,4731.4,64.68,152.59,24533,3,1,542.68,0,0,24
2021-01-28,Philippines,Coastal,1467.0,2053.8,332.71,5,135,7.87,1,3193.98,52.46,77.38,81385,6,2,890.04,0,14,34
2023-12-13,USA,Forest,2244.61,2029.81,1324.0,8,621,17.14,2,6346.53,64.89,199.58,87709,0,3,7229.03,0,1,47
2020-05-22,Germany,Forest,2021.76,407.48,491.52,3,97,17.88,2,5125.39,45.16,193.86,21931,2,1,1650.8,1,10,8
2020-04-03,Mexico,Rural,1572.39,66.25,201.17,2,740,19.94,0,5413.13,69.96,65.36,59196,7,3,2704.49,0,6,46
2023-09-16,Nigeria,Urban,214.11,355.94,101.76,5,917,18.91,0,5816.85,70.28,148.27,64054,0,1,3260.31,1,4,4
2021-04-11,China,Forest,1632.67,1634.68,346.07,3,133,13.59,0,5257.7,62.37,185.49,49887,9,3,1044.94,0,1,44
2021-08-15,Germany,Rural,1745.64,494.98,330.5,0,656,8.92,0,3143.61,85.43,62.11,11155,2,0,447.54,0,3,38
2020-06-12,Germany,Mountain,7298.0,1000.71,107.77,4,357,1.63,0,4648.21,84.57,68.6,54602,2,0,2369.6,0,10,8
2021-04-21,Germany,Coastal,1430.46,549.67,1947.81,1,301,12.36,1,4518.53,32.85,102.05,13723,7,1,720.64,1,5,9
2020-07-25,Indonesia,Coastal,2087.06,98.24,2329.21,1,530,4.61,0,4551.68,47.39,64.36,68332,0,0,6881.19,0,14,41
2022-02-17,Nigeria,Forest,3620.21,567.7,520.39,2,894,17.08,2,4793.34,51.86,182.84,94301,9,4,1998.25,0,7,48
2021-07-23,Indonesia,Coastal,2838.07,1110.06,701.88,1,229,11.2,0,5055.51,33.32,181.33,9791,4,3,1417.8,0,5,41
2022-07-17,Indonesia,Mountain,4212.8,306.89,834.34,3,645,14.8,4,6929.81,61.42,192.31,77089,6,1,3175.71,0,5,31
2023-07-25,Mexico,Urban,432.91,1086.89,2129.2,5,359,13.63,0,5523.41,31.47,80.75,25176,3,0,602.16,0,5,31
2022-01-17,Germany,Suburban,687.06,600.51,2160.68,4,986,7.27,0,5720.44,70.68,56.8,34524,9,1,2572.17,1,4,40
2020-11-29,Indonesia,Forest,1037.27,1041.02,1305.45,3,475,15.3,0,4532.38,30.16,116.69,19842,2,4,1199.39,0,4,7
2022-01-28,Mexico,Mountain,359.32,743.62,1271.72,3,535,16.95,1,6487.48,31.92,182.08,6564,9,1,2513.25,1,5,25
2021-12-28,India,Suburban,1756.76,193.26,649.08,4,711,15.01,1,5134.15,80.03,145.77,1996,5,1,398.98,1,5,13
2021-03-05,Mexico,Rural,739.18,416.55,807.27,3,88,15.65,0,4984.92,45.16,199.75,74989,4,2,3306.12,1,0,5
2023-10-04,India,Urban,4575.21,403.54,2435.23,3,328,7.52,0,3211.56,34.87,185.85,65560,1,2,981.18,1,6,18
2021-06-30,Brazil,Forest,846.2,291.78,567.03,2,865,18.9,0,5708.06,53.97,108.91,65761,5,2,2226.26,0,5,7
2023-12-08,India,Coastal,1284.5,694.13,745.4,3,674,8.78,2,5931.52,33.06,55.93,53539,2,2,111.32,0,5,38
2023-10-31,India,Forest,2952.96,2329.08,1822.79,4,425,17.99,0,5902.62,75.02,50.78,59413,8,3,450.14,1,0,42
2023-08-20,Russia,Rural,529.14,1328.65,717.99,2,978,17.23,0,3596.6,59.65,146.63,77113,2,4,3689.32,1,6,15
2020-05-26,Indonesia,Coastal,333.58,1468.32,833.68,8,688,2.92,1,5939.52,63.12,187.36,84260,8,1,1784.8,0,13,49
2023-06-01,USA,Suburban,1916.57,273.2,1853.5,2,90,19.34,0,4688.79,75.18,116.63,82608,5,4,901.15,1,5,45
2023-07-24,Brazil,Urban,2025.19,1487.03,101.64,1,719,19.93,1,3743.17,77.07,181.14,32497,7,1,2777.95,1,9,33
2020-12-16,Indonesia,Suburban,2893.45,1873.29,321.58,8,767,12.32,4,7157.63,38.18,135.01,90954,8,2,1750.53,1,1,31
2022-12-29,India,Forest,2435.38,263.57,3542.35,2,96,15.77,2,6512.84,46.82,64.7,72162,7,3,3683.65,0,11,9
2024-02-02,USA,Mountain,2080.22,815.35,1843.54,3,533,18.71,1,5651.75,40.54,169.75,68863,1,1,397.52,0,12,19
2021-05-16,Mexico,Rural,933.88,833.57,2026.1,1,234,0.89,1,5524.11,33.24,123.89,9117,2,1,3148.34,1,10,6
2020-11-30,Germany,Forest,1984.84,446.31,1279.19,3,121,18.63,0,6566.0,62.25,57.66,60100,7,0,620.42,0,11,36
2022-08-04,Nigeria,Suburban,2074.37,646.74,1406.93,6,618,12.73,0,4512.52,44.99,172.19,91365,4,3,376.33,0,7,32
2022-02-16,India,Mountain,904.08,867.99,584.8,3,800,16.65,0,7482.67,39.24,163.65,81422,9,3,2805.01,0,7,28
2021-07-06,Philippines,Forest,5422.08,475.28,803.38,2,623,11.04,3,5042.2,60.61,118.59,92484,3,3,1803.68,0,14,38
2023-08-03,Philippines,Rural,2356.27,1279.95,2071.12,2,391,10.85,0,5995.63,68.04,52.92,63291,5,4,665.84,0,13,10
2023-11-10,Germany,Forest,698.46,130.96,674.38,2,618,18.0,0,5539.17,76.33,102.04,63599,5,2,2351.14,0,6,35
2023-02-14,Germany,Coastal,2903.28,401.83,567.04,4,292,10.4,1,3993.93,31.05,115.24,45003,6,0,1404.3,1,11,46
2021-03-25,India,Coastal,3245.4,1016.94,998.02,3,377,9.7,2,5020.05,61.58,74.8,27071,4,4,2883.35,1,6,24
2023-11-03,India,Mountain,2258.38,2151.96,1286.36,1,685,12.36,3,6484.1,46.02,74.14,91346,0,2,243.05,0,11,34
2021-10-26,Mexico,Suburban,1369.52,1343.24,2544.83,5,202,10.61,2,4226.96,89.5,75.05,50757,7,1,3105.12,0,14,9
2020-04-24,Mexico,Coastal,870.69,635.1,5843.33,2,304,9.2,1,6359.57,39.42,105.59,39900,0,0,3250.3,0,13,27
2021-04-14,Russia,Urban,1569.1,497.04,416.05,3,778,4.02,2,5663.98,56.27,172.63,76066,3,4,2452.19,0,10,34
2020-03-06,India,Urban,2147.03,424.39,1689.1,3,473,8.25,0,3690.11,88.2,163.9,56332,2,0,790.61,1,6,15
2021-10-08,India,Forest,1683.51,426.85,1092.3,5,281,6.0,1,4999.81,42.79,51.52,19619,2,2,1821.36,1,13,27
2022-04-01,Mexico,Suburban,4335.53,53.46,138.67,4,578,8.31,0,4950.33,78.41,51.45,71721,5,4,571.29,0,3,27
2021-07-02,China,Urban,2611.91,2087.37,2952.59,6,641,12.07,1,3979.99,44.58,61.65,47854,7,4,2711.43,0,0,32
2020-05-15,Mexico,Urban,786.92,532.23,726.88,4,545,12.37,1,5300.74,34.52,119.99,78417,4,0,826.57,1,8,45
2021-03-08,China,Rural,631.19,245.85,689.25,1,225,5.15,1,3643.42,32.57,183.33,89252,5,1,248.46,1,0,27
2023-03-07,India,Rural,2370.35,804.71,2951.85,4,600,2.15,2,5877.61,86.92,77.34,14695,5,1,1580.18,0,11,26
2024-01-10,Mexico,Urban,1394.5,267.85,972.17,2,192,15.02,2,4111.79,42.77,121.52,40810,0,1,688.13,1,11,44
2021-10-06,Russia,Rural,2768.81,1186.14,2361.68,2,66,10.81,0,4687.34,47.52,56.11,57612,6,2,2787.01,0,4,17
2021-03-11,Indonesia,Urban,2355.31,254.54,833.36,5,298,9.12,2,4997.2,88.01,53.05,17652,0,0,3843.97,0,14,16
2023-09-04,Brazil,Mountain,1574.4,1054.55,1513.97,2,84,3.03,1,6516.28,69.44,51.12,49838,6,2,111.0,0,9,35
2022-10-19,Brazil,Rural,795.06,418.41,919.18,2,850,8.59,0,3734.57,59.29,160.5,16538,7,2,1566.68,0,12,26
2022-03-21,Mexico,Urban,376.2,717.57,484.89,1,195,16.45,1,4497.11,56.13,53.57,6877,3,1,1194.05,0,13,38
2023-08-09,Indonesia,Urban,1958.62,1119.45,1551.4,4,975,11.84,0,5154.11,32.91,91.07,96894,7,1,6514.21,1,8,30
2022-07-28,USA,Forest,520.25,330.32,1825.6,2,776,2.27,1,4935.28,80.34,146.76,32751,5,1,1037.15,1,14,42
2020-10-19,USA,Suburban,766.2,1097.99,1027.91,4,214,6.98,0,5109.72,75.72,142.8,92946,5,0,1183.5,1,1,37
2021-06-26,Philippines,Mountain,1873.11,57.57,104.32,0,160,19.61,1,4795.27,35.44,58.27,28421,8,0,2294.8,1,4,14
2020-10-12,Mexico,Suburban,1742.95,1766.62,333.74,3,696,11.12,2,5279.7,51.21,88.5,8427,5,1,459.62,1,10,18
2021-05-20,China,Mountain,583.72,1251.28,643.22,6,123,6.08,0,3039.63,83.12,145.9,89559,4,2,89.77,1,10,28
2023-02-23,Nigeria,Forest,3492.33,515.44,2790.5,3,717,18.31,2,6416.23,44.19,108.84,5242,9,0,1096.16,0,10,40
2023-01-08,China,Forest,3430.86,1429.43,982.41,1,776,7.05,1,4929.23,66.67,119.87,8829,9,4,1302.13,1,0,16
2021-06-22,Russia,Suburban,2423.91,1316.73,2755.28,4,403,14.73,1,7693.89,59.28,81.06,73563,5,2,141.65,0,1,2
2023-04-12,Brazil,Forest,2421.84,559.7,2158.2,0,323,3.37,1,4662.51,79.11,55.66,84227,7,2,1132.98,0,0,20
2022-05-27,Nigeria,Coastal,2423.93,554.25,687.54,2,992,3.55,1,6034.84,32.16,101.78,68201,8,3,1434.71,1,14,30
2023-04-10,Russia,Urban,3226.56,213.53,1205.72,4,328,11.45,2,4254.06,78.97,152.45,18212,9,0,3662.59,1,2,9
2022-03-28,Germany,Coastal,2656.98,587.32,1860.34,1,709,5.18,2,5042.61,38.14,164.98,21980,9,4,808.78,0,3,1
2022-01-11,Philippines,Rural,854.8,93.76,509.47,3,80,1.46,0,3996.47,30.9,138.88,29086,7,0,111.6,1,0,27
2021-03-25,USA,Forest,1379.25,1044.08,1756.68,5,575,18.57,0,4680.99,65.73,108.98,80661,7,2,3127.21,0,9,9
2020-10-10,USA,Suburban,6796.53,1062.23,1602.33,2,584,1.59,0,4268.02,45.52,137.47,807,6,0,649.07,0,0,20
2022-11-09,China,Urban,231.48,59.04,482.68,1,559,14.49,1,5496.47,72.56,155.75,83260,0,2,918.59,0,1,27
2022-10-07,Brazil,Urban,1128.63,1640.95,1490.09,5,563,6.99,0,6652.78,58.19,163.29,18059,3,4,647.4,0,13,39
2020-07-05,India,Rural,3504.81,301.08,943.14,1,974,18.7,0,5450.82,66.33,64.17,52241,3,2,1914.19,1,3,35
2020-04-06,Brazil,Suburban,903.27,3824.38,260.13,2,227,19.73,0,7869.86,71.38,170.45,58628,2,1,611.09,0,12,33
2020-08-12,Russia,Mountain,2706.98,685.82,643.24,2,378,7.04,0,5706.76,85.62,59.52,86999,3,2,2919.91,0,1,13
2020-11-09,Russia,Urban,1726.19,1653.1,622.3,2,620,12.03,0,4066.83,79.39,180.57,12518,1,1,3037.59,0,1,14
2023-07-09,Russia,Mountain,959.04,205.67,3143.73,2,850,15.57,1,7425.99,59.71,108.84,71858,2,4,1578.63,0,7,1
2020-11-23,Mexico,Suburban,181.01,417.52,339.84,1,737,2.91,0,5911.03,56.28,132.04,20644,2,4,2451.16,1,10,7
2023-10-25,Germany,Urban,1919.15,328.61,566.2,2,221,14.33,2,3607.7,69.28,93.5,668,9,2,1454.12,0,7,47
2022-05-14,India,Coastal,838.61,91.31,1387.64,3,445,18.17,0,4978.87,74.01,114.0,50694,0,1,6950.46,0,6,33
2023-05-06,India,Forest,1522.89,131.52,1072.29,3,644,3.98,0,5803.61,40.36,176.78,97303,6,2,2208.95,0,10,39
2020-05-10,Indonesia,Suburban,2407.3,497.1,868.17,0,987,16.85,1,5563.75,31.95,94.35,92228,3,4,1382.95,0,3,34
2022-02-27,Brazil,Mountain,3052.81,781.4,854.53,5,784,2.75,2,5800.52,57.28,134.63,66582,7,1,1611.86,0,6,46
2022-02-20,Germany,Coastal,1125.63,180.87,2041.69,7,84,11.58,3,6017.68,35.97,147.06,60276,8,3,4309.78,0,13,28
2023-05-05,Russia,Suburban,957.5,392.92,492.95,3,346,7.12,1,4399.1,46.36,71.96,12336,1,3,2746.02,1,5,7
2022-08-16,Nigeria,Urban,511.31,266.35,365.61,1,518,9.7,1,5505.93,65.08,166.67,73879,1,4,2009.13,1,6,46
2022-12-19,Philippines,Forest,3154.63,528.46,99.82,3,544,6.36,3,5213.9,39.09,199.86,13331,1,1,2738.46,1,0,24
2021-05-29,Brazil,Coastal,6181.73,980.81,674.95,1,671,5.58,1,4747.01,31.71,73.26,11951,7,2,2327.75,0,14,15
2023-02-07,Mexico,Forest,3386.48,615.43,277.15,3,284,14.99,0,5835.66,63.28,165.18,48842,1,4,2543.03,1,4,24
2020-01-24,India,Urban,3895.6,314.21,783.3,3,958,4.85,1,5197.36,57.97,72.06,23677,5,4,2468.14,1,4,27
2023-10-25,USA,Suburban,909.83,1283.06,150.0,1,88,8.46,0,6117.58,48.38,192.54,31870,4,0,1485.15,1,6,39
2024-01-16,USA,Urban,2307.8,760.04,773.26,5,268,5.85,3,5310.14,58.13,111.65,32123,9,2,2661.24,1,3,3
2020-08-22,Philippines,Coastal,2880.07,631.6,1303.36,4,266,5.15,0,4677.32,71.01,196.99,79451,8,2,575.92,1,12,10
2023-10-28,Germany,Urban,663.14,183.61,989.21,0,755,12.73,0,5160.34,36.54,60.19,92596,1,3,1692.05,1,0,12
2023-01-04,China,Rural,4787.15,1179.14,1645.77,3,724,1.39,1,5681.73,45.34,168.65,78062,0,0,1508.85,0,2,41
2021-06-30,India,Forest,418.21,825.79,2306.15,1,677,15.88,1,5039.0,77.7,121.01,16057,1,2,959.29,0,13,29
2023-08-05,Brazil,Urban,4305.66,862.02,1276.67,11,889,11.15,1,4557.58,70.21,93.42,86507,9,2,728.25,1,3,8
2021-11-27,China,Urban,415.28,453.08,1009.14,0,722,16.65,4,5159.57,45.98,162.18,98637,4,3,670.03,0,4,10
2020-08-16,Mexico,Suburban,693.54,378.99,1419.52,4,650,4.65,2,6427.08,53.89,145.3,21011,7,0,167.44,1,14,17
2021-08-24,Philippines,Rural,2337.25,2095.28,1311.61,3,469,14.33,1,5668.63,37.18,185.43,78211,7,0,3380.81,1,13,9
2022-06-09,India,Forest,1758.41,373.31,1872.52,3,702,8.7,2,5365.06,45.19,87.32,80000,1,1,3647.03,0,11,42
2020-11-19,Indonesia,Mountain,1217.08,142.49,1064.44,0,873,2.0,0,4811.19,80.47,190.96,9421,4,4,392.43,1,7,15
2022-07-18,Nigeria,Rural,4667.14,659.83,305.59,1,223,15.17,3,5217.4,56.42,146.28,53955,1,1,1101.94,1,7,4
2020-01-07,India,Rural,524.97,555.43,2225.58,4,762,15.36,0,4048.69,68.42,117.57,53980,6,0,728.12,0,11,21
2024-01-18,USA,Forest,1478.29,1328.45,162.15,7,916,5.78,1,4821.72,39.58,57.97,17099,9,3,245.08,0,1,7
2024-01-13,Philippines,Suburban,2547.4,486.41,1756.5,1,863,18.36,0,5530.76,41.0,164.78,67560,7,1,3241.54,0,9,48
2021-06-23,Indonesia,Rural,2056.38,955.49,1395.28,0,917,15.4,0,5111.0,86.46,178.76,89364,4,3,7315.89,0,3,8
2022-10-22,Russia,Forest,985.09,1726.49,1423.96,2,162,6.48,0,4629.57,80.49,171.44,47856,0,0,2115.26,1,13,46
2020-12-31,Brazil,Suburban,1015.71,785.81,1089.04,4,928,5.16,1,3777.08,77.42,160.35,97763,6,3,2240.42,1,1,20
2022-11-05,China,Rural,3021.7,194.72,545.76,2,989,9.08,3,4876.87,49.78,195.41,36796,2,1,1194.3,0,4,7
2020-08-05,Indonesia,Forest,3118.69,804.66,935.54,3,223,6.21,1,4262.4,63.77,177.37,84365,1,0,2136.72,0,3,46
2023-07-04,Philippines,Suburban,2095.7,399.61,2457.17,3,123,4.73,0,4973.05,59.54,189.18,4989,5,0,715.48,1,1,6
2021-09-03,USA,Forest,809.17,699.54,1458.95,1,886,8.28,0,5281.24,87.37,159.57,68408,1,1,3169.95,1,12,9
2023-08-01,Philippines,Mountain,1043.03,559.23,1471.09,3,848,1.0,1,6444.61,44.38,173.03,1018,9,4,1083.03,1,2,14
2022-11-05,Russia,Suburban,1639.83,138.66,2501.4,2,686,8.33,0,5930.13,86.83,93.37,48143,7,1,2240.53,1,14,48
2023-06-01,Mexico,Urban,1822.77,483.86,2712.44,4,585,4.82,1,5238.91,72.41,150.33,5295,2,1,896.74,0,2,36
2021-02-11,Nigeria,Suburban,2477.44,182.09,1816.79,4,81,5.65,2,7092.28,54.82,80.83,89738,1,2,1325.1,1,13,29
2020-11-09,Russia,Forest,1419.03,345.66,3813.92,2,303,2.11,2,5405.92,45.98,60.39,27918,7,0,1038.88,0,6,3
2022-02-04,Indonesia,Coastal,2975.51,1176.09,1451.49,1,546,11.98,2,4284.82,75.44,136.89,37723,5,2,3102.07,1,3,45
2020-11-26,Brazil,Suburban,2952.95,599.37,1812.06,3,162,9.7,0,4784.53,79.38,167.44,32478,3,2,2582.77,0,0,31
2023-01-09,Mexico,Mountain,3983.95,909.2,2110.23,2,244,15.14,1,7578.95,51.45,62.41,13213,4,2,1206.51,1,4,24
2022-12-22,Nigeria,Suburban,1693.93,643.17,2617.36,5,577,19.75,1,4282.47,40.31,77.19,16188,9,3,1433.07,0,5,24
2020-01-02,India,Suburban,2121.17,427.52,443.16,3,490,2.83,1,4699.47,59.53,63.95,88263,6,1,2573.19,0,5,48
2023-05-11,Brazil,Mountain,1504.24,701.24,279.56,3,538,5.81,2,6000.02,58.11,145.13,92163,3,2,5354.93,0,14,36
2021-10-25,Russia,Urban,817.79,72.49,327.64,7,546,13.81,2,4117.89,73.52,61.93,49525,6,3,1755.73,0,13,35
2022-09-27,USA,Rural,6090.1,1047.0,678.72,4,773,5.13,2,6029.5,88.39,63.99,2445,5,3,577.53,0,11,25
2020-02-09,Brazil,Rural,3653.42,238.28,2163.3,2,669,1.09,2,6164.58,61.88,89.63,61751,4,0,1897.54,1,9,39
2020-08-17,Nigeria,Forest,2911.84,863.12,838.75,4,73,2.64,1,5288.77,73.9,90.54,19557,2,1,719.1,1,10,21
2022-01-13,Philippines,Mountain,1650.91,411.43,941.39,3,339,8.96,2,6662.74,51.03,133.63,58399,0,4,1364.69,1,1,15
2021-09-21,Philippines,Forest,755.95,138.78,279.87,3,945,8.9,1,4834.93,65.97,54.83,88372,7,1,4845.62,1,4,34
2021-05-05,Philippines,Coastal,3269.09,286.26,314.42,6,357,19.46,0,5940.21,36.92,142.3,5790,6,3,941.19,1,3,9
